Game_ID,Game_Critic_Score,Game_Genre,Game_Popularity_Score,Game_Title,Game_Price_in_Dollars,Game_Outlet_Id,Store_Sale_Year,Store_Size,Store_Location_Type,Store_Outlet_Type,Total_Outlet_Sales
GM_FDW58,8.3,Action,0.007564836,DOTA,10.78622,49,2017,Medium,Metropolitan,Supermarket,373.5138
GM_FDW14,8.3,Action,0.038427677,PUBG,8.73198,17,2020,Medium,Residential,Supermarket,44.34228
GM_NCN55,5.84,Action,0.099574908,Rocket League,24.17538,10,2016,Medium,Outskirts,Convenience Store,209.727
GM_FDQ58,7.315,Action,0.015388393,DOTA,15.5034,17,2020,Medium,Residential,Supermarket,73.238
GM_FDY38,0,Arcade,0.118599314,PUBG,23.423,27,2013,Medium,Outskirts,Department Store,99.47052
GM_FDH56,9.8,Arcade,0.063817206,FIFA,11.71492,46,2015,Small,Metropolitan,Supermarket,55.66088
GM_FDL48,7.74,Arcade,0.082601537,Valorant,5.01034,18,2021,Medium,Outskirts,Malls,34.35528
GM_FDC48,0,Action,0.015782495,Valorant,8.10592,27,2013,Medium,Outskirts,Department Store,402.27636
GM_FDN33,6.305,Arcade,0.123365446,DOTA,9.57436,45,2018,Medium,Residential,Supermarket,107.65986
GM_FDA36,5.985,Action,0.005698435,Valorant,18.68924,17,2020,Medium,Residential,Supermarket,471.0535
GM_FDT44,6.64,Action,0.103569075,FIFA,11.83466,17,2020,Medium,Residential,Supermarket,151.60266
GM_FDQ56,6.59,Action,0.10581147,FIFA,8.53908,45,2018,Medium,Residential,Supermarket,218.7153
GM_NCC54,0,Action,0.171079215,Prince of Persia,24.04196,19,2013,Small,Metropolitan,Convenience Store,158.92646
GM_FDU11,4.785,Action,0.092737611,Grand Theft Auto,12.23098,49,2017,Medium,Metropolitan,Supermarket,214.52076
GM_DRL59,6.7,Arcade,0.021206464,Uncharted,5.20298,13,2014,High,Outskirts,Supermarket,197.7426
GM_FDM24,6.135,Arcade,0.0794507,Valorant,15.16366,49,2017,Medium,Metropolitan,Supermarket,154.73192
GM_FDI57,7.94,Action,0.05413521,Call of Duty,19.87768,45,2018,Medium,Residential,Supermarket,162.18888
GM_DRC12,7.14,Action,0.037980963,Hitman,19.22188,18,2021,Medium,Outskirts,Malls,71.83982
GM_NCM42,0,Action,0.028184344,Apex Legends,10.96912,27,2013,Medium,Outskirts,Department Store,230.3668
GM_FDA46,5.44,Action,0.196897637,DOTA,19.37136,10,2016,Medium,Outskirts,Convenience Store,274.84224
GM_FDA31,7.1,Action,0.109920138,FIFA,17.5008,13,2014,High,Outskirts,Supermarket,377.5086
GM_NCJ31,7.68,Action,0.182619235,Rocket League,23.99196,35,2019,Small,Residential,Supermarket,406.40432
GM_FDG52,5.46,Arcade,0.065630844,League of Legends,4.77402,46,2015,Small,Metropolitan,Supermarket,158.72672
GM_NCL19,0,Action,0.027447057,Rocket League,14.2347,19,2013,Small,Metropolitan,Convenience Store,21.43876
GM_FDS10,7.68,Action,0.035178935,DOTA,18.07318,35,2019,Small,Residential,Supermarket,407.8025
GM_FDX22,6.785,Arcade,0.038455125,DOTA,20.94928,10,2016,Small,Outskirts,Convenience Store,83.8908
GM_NCF19,5.2,Action,0.035102094,Apex Legends,4.76034,35,2019,Small,Residential,Supermarket,106.528
GM_NCE06,5.825,Action,0.091485232,Apex Legends,16.13894,46,2015,Small,Metropolitan,Supermarket,30.89312
GM_DRC27,5.52,Action,0.058102469,PUBG,24.46802,46,2015,Small,Metropolitan,Supermarket,17.84344
GM_FDE21,5.12,Arcade,0.022940349,FIFA,11.65492,35,2019,Small,Residential,Supermarket,12.58362
GM_NCR42,0,Action,0.06737681,Apex Legends,3.209,19,2013,Small,Metropolitan,Convenience Store,16.37868
GM_FDX51,9.5,Arcade,0.022148582,Fortnite,19.49452,18,2021,Medium,Outskirts,Malls,274.17644
GM_NCR06,5,Action,0.006792707,Apex Legends,4.24112,18,2021,Medium,Outskirts,Malls,306.80064
GM_FDU31,0,Arcade,0.024870035,FIFA,21.77508,27,2013,Medium,Outskirts,Department Store,217.45028
GM_FDU59,5.78,Action,0.096931426,Grand Theft Auto,16.42552,17,2020,Medium,Residential,Supermarket,208.52856
GM_FDR03,0,Arcade,0.008693632,Fortnite,20.5098,27,2013,Medium,Outskirts,Department Store,379.10652
GM_FDS49,0,Action,0.078961284,God of War,8.03644,27,2013,Medium,Outskirts,Department Store,279.76916
GM_FDD48,4.158,Action,0.050479463,Valorant,11.40176,10,2016,Medium,Outskirts,Convenience Store,160.99044
GM_NCF18,7.34,Action,0.089485918,Apex Legends,19.21504,17,2020,Medium,Residential,Supermarket,38.81614
GM_NCD43,0,Action,0.01594238,Apex Legends,10.33964,27,2013,Medium,Outskirts,Department Store,218.0495
GM_NCD54,8.44,Action,0.029127115,Apex Legends,14.33786,18,2021,Medium,Outskirts,Malls,343.5528
GM_FDY19,7.9,Arcade,0.069236421,FIFA,11.66466,10,2016,Medium,Outskirts,Convenience Store,215.0534
GM_NCY54,8.43,Action,0.178699961,Apex Legends,17.39422,17,2020,Medium,Residential,Supermarket,252.73768
GM_NCL19,6.14,Action,0.015740089,Rocket League,14.4847,18,2021,Medium,Outskirts,Malls,676.85228
GM_FDP23,6.71,Action,0.059565107,Grand Theft Auto,21.72166,10,2016,Medium,Outskirts,Convenience Store,37.35138
GM_FDC26,4.078,Action,0.126277921,God of War,11.21886,13,2014,High,Outskirts,Supermarket,35.82004
GM_FDR14,4.66,Action,0.291322397,PUBG,5.58298,10,2016,High,Outskirts,Convenience Store,242.88384
GM_NCS41,5.14,Action,0.053433908,Prince of Persia,18.32608,35,2019,Small,Residential,Supermarket,581.50972
GM_FDF41,4.86,Action,0.131155007,League of Legends,24.8146,35,2019,Small,Residential,Supermarket,257.6646
GM_FDU34,7.3,Action,0.075194929,DOTA,12.49046,46,2015,Small,Metropolitan,Supermarket,78.03176
GM_DRH11,5.98,Action,0.075557965,Uncharted,5.70614,46,2015,Small,Metropolitan,Supermarket,313.45864
GM_FDM03,5.06,Action,0.122928415,Fortnite,10.66938,13,2014,High,Outskirts,Supermarket,85.08924
GM_FDS31,5.24,Arcade,0.044442342,FIFA,18.10318,17,2020,High,Residential,Supermarket,81.09444
GM_FDJ20,8.28,Arcade,0.100741569,FIFA,12.23388,17,2020,High,Residential,Supermarket,312.12704
GM_FDV44,0,Arcade,0.039651481,FIFA,18.87188,27,2013,Medium,Outskirts,Department Store,481.50656
GM_FDG02,7.855,Action,0.011278673,God of War,18.88188,49,2017,Medium,Metropolitan,Supermarket,625.852
GM_FDA09,5.34,Arcade,0,DOTA,17.9666,13,2014,High,Outskirts,Supermarket,211.7244
GM_FDT04,6.9,Arcade,0.106952661,League of Legends,3.83822,13,2014,High,Outskirts,Supermarket,79.69626
GM_FDL58,0,Arcade,0.129825457,DOTA,26.32568,19,2013,Small,Metropolitan,Convenience Store,491.0275
GM_FDE52,4.158,Arcade,0.029947409,PUBG,9.01514,45,2018,Small,Residential,Supermarket,89.2172
GM_FDW12,8.315,Arcade,0.035565457,Valorant,14.48444,35,2019,Small,Residential,Supermarket,318.51872
